"","Proveedor","Rut_RBD","Id_Reg","Id_Prov","Id_Com","Región","Provincia","Comuna","Raz_Soc","Dirección","Fono","Mail","Web","SIGLA_SEDE","Tipo_Insti","Clas_CFT_I","Area","Dependenci","Rut_Sost","Sostenedor","Niv_Ens","Esp_concat","Sigla","Nom_Establ","Coor_OTEC","Fono_OTEC","Enc_Establ","Fono_Estab","Clas_Prove","Cla_Ot_RN","Cla_Ot_RE","Cla_cft_IP","Cla_LTP","LAT_Y_2018","LON_X_2018","F36","OBJECTID","geometry"
"1","Liceos Técnicos Profesionales","8474",12,123,12301,"Magallanes y Antartica chilena","Tierra del Fuego","Porvenir","Liceo Polivalente Hernando De Magallanes","Hernando De Magallanes 618","612 580 007","liceodeporvenir@muniporvenir.cl","www.liceohm.cl"," "," "," ","URBANO","Municipal","69250300","Ilustre Municipalidad De Porvenir","Med H-C/Med H-C Adul/Med TP Tecn","Servicio de Turismo"," "," "," "," "," "," ",3," "," ",0,"1",-53.291281,-70.373114," ",479,c(-70.3731139998112, -53.2912810003179)
"2","Liceos Técnicos Profesionales","8427",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Liceo Industrial Armando Quezada Acharan","21 De Mayo 2052","612 261 913","liarmandoquezadaacharan@gmail.com"," "," "," "," ","URBANO","Municipal","70931900","Corporacion Municipal De Punta Arenas","Med TP indust/Med TP indust Adul/Med TP Marítima","Instalaciones Sanitarias- Construcción- Construcciones Metálicas- Mecánica Automotriz- Mecánica Industrial- Electricidad- Electrónica- Telecomunicaciones"," "," "," "," "," "," ",3," "," ",0,"1",-53.171382,-70.919426," ",480,c(-70.9194260004095, -53.1713820001791)
"3","Liceos Técnicos Profesionales","8425",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Liceo Polivalente Maria Behety De Menendez","Arturo Prat 1875","612 265 775","secretaria.lmbehety@cormupa.cl","www.lpmariabehety.cl"," "," "," ","URBANO","Municipal","70931900","Corporacion Municipal De Punta Arenas","Med H-C/Med TP indust/Med TP Tecn/Med TP Marítima","Vestuario y Confección Textil- Gastronomía- Servicios de Hotelería- Atención de Párvulos- Acuicultura- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-53.165723,-70.929173," ",481,c(-70.9291730002337, -53.1657230000164)
"4","Liceos Técnicos Profesionales","8430",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Liceo Polivalente Sara Braun","Avda. Colon 1027","612 371 687","direccion.lsbraun@cormupa.cl"," "," "," "," ","URBANO","Municipal","70931900","Corporacion Municipal De Punta Arenas","Básica/Med H-C/Med H-C Adul/Med TP Tecn/Med TP tecn Adul","Servicio de Turismo- Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-53.162498,-70.901572," ",482,c(-70.9015719999478, -53.1624979996829)
"5","Liceos Técnicos Profesionales","8424",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Instit.Superior De Comercio Jose Menendez","Magallanes 847","612 241 332","vmansillav@yahoo.com","www.insucopuntaarenas.cl"," "," "," ","URBANO","Municipal","70931900","Corporacion Municipal De Punta Arenas","Básica/Med TP comer/Med TP comer Adul","Contabilidad- Administración- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-53.161364,-70.905008," ",483,c(-70.9050080001191, -53.1613640004482)
"6","Liceos Técnicos Profesionales","8457",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Instituto Sagrada Familia","Mejicana 830","612 614 500","insafa@fmachile.org","insafa.cl"," "," "," ","URBANO","Particular Subvencionado","70083600","Congregacion Instituto Hijas De Maria Auxiliadora","Parv./Básica/Med TP comer/Med TP Tecn","Administración- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-53.158438,-70.901347," ",484,c(-70.9013470003637, -53.1584380004134)
"7","Liceos Técnicos Profesionales","8454",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Instituto Don Bosco","Maipu 615","612 241 096","secdirector@institutodonbosco.cl","www.institutodonbosco.cl"," "," "," ","URBANO","Particular Subvencionado","80230500","Congregacion Salesiana","Parv./Básica/Med TP indust","Mecánica Automotriz- Electricidad- Electrónica- Telecomunicaciones"," "," "," "," "," "," ",3," "," ",0,"1",-53.155422,-70.902695," ",485,c(-70.9026949995745, -53.1554219998254)
"8","Liceos Técnicos Profesionales","24316",12,121,12101,"Magallanes y Antartica chilena","Magallanes","Punta Arenas","Liceo Politec.Cardenal Raul Silva Henriquez","Karukinka 140","612 249 626","secretaria.lrsilvah@cormupa.cl"," "," "," "," ","URBANO","Municipal","70931900","Corporacion Municipal De Punta Arenas","Med TP comer/Med TP indust/Med TP Tecn/Med TP Marítima","Administración- Mecánica Automotriz- Electricidad- Gastronomía- Servicio de Turismo- Servicios de Hotelería- Operación Portuaria- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-53.136319,-70.923304," ",486,c(-70.9233040002794, -53.1363190002216)
"9","Liceos Técnicos Profesionales","8411",12,124,12401,"Magallanes y Antartica chilena","Ultima Esperanza","Natales","Liceo Politecnico Luis Cruz Martinez","Gobernador Bernardo Phillips 474","612 414 125","direccion@liceopolitecnicolcm.cl","www.liceopolitecnicolcm.cl"," "," "," ","URBANO","Municipal","71165800","Corporacion Municipal De Puerto Natales","Med TP comer/Med TP indust/Med TP Tecn","Mecánica Automotriz- Servicio de Turismo- Servicios de Hotelería- Atención de Enfermería- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-51.724397,-72.505772," ",487,c(-72.5057719997779, -51.7243970000215)
"10","Liceos Técnicos Profesionales","8394",11,114,11401,"Aysen del General Carlos Ibañez del Campo","General Carrera","Chile Chico","Liceo Luisa Rabanal De Palma","Bernardo O`Higgins 675","672 411 269","liceoluisarabanalpalma@gmail.com","www.liceolrp.cl"," "," "," ","URBANO","Municipal","69240400","Ilustre Municipalidad De Chile Chico","Básica/Med H-C/Med TP indust","Electricidad"," "," "," "," "," "," ",3," "," ",0,"1",-46.540486,-71.724335," ",488,c(-71.7243350003599, -46.5404859996291)
